date,lottery_id,n1,n2,n3,n4,n5
2017.08.12.,hu5,21,33,68,75,89
2017.08.05.,hu5,7,8,25,29,76
2017.07.29.,hu5,39,46,47,78,85
2017.07.22.,hu5,22,30,35,61,71
2017.07.15.,hu5,1,9,25,73,89
2017.07.08.,hu5,33,54,66,68,72
2017.07.01.,hu5,7,31,34,55,60
2017.06.24.,hu5,5,9,52,59,85
2017.06.17.,hu5,21,43,62,66,84
2017.06.10.,hu5,6,44,46,55,81
2017.06.03.,hu5,21,53,59,71,86
2017.05.27.,hu5,15,24,35,53,71
2017.05.20.,hu5,48,56,58,65,70
2017.05.13.,hu5,5,34,45,54,55
2017.05.06.,hu5,6,7,46,65,88
2017.04.29.,hu5,5,31,41,44,63
2017.04.22.,hu5,47,48,56,67,90
2017.04.15.,hu5,58,59,71,85,89
2017.04.08.,hu5,14,43,49,76,85
2017.04.01.,hu5,7,12,32,38,82
2017.03.25.,hu5,2,3,35,41,79
2017.03.18.,hu5,1,4,59,65,85
2017.03.11.,hu5,1,4,40,49,67
2017.03.04.,hu5,3,28,37,44,46
2017.02.25.,hu5,10,12,13,64,79
2017.02.18.,hu5,51,61,64,74,79
2017.02.11.,hu5,3,5,13,62,87
2017.02.04.,hu5,4,39,49,60,62
2017.01.28.,hu5,3,19,64,66,77
2017.01.21.,hu5,17,20,59,78,81
2017.01.14.,hu5,3,6,67,72,76
2017.01.07.,hu5,9,11,43,57,88
2017.01.01.,hu5,25,42,45,52,86
2016.12.23.,hu5,8,35,60,67,84
2016.12.17.,hu5,26,27,30,73,85
2016.12.10.,hu5,10,14,25,51,71
2016.12.03.,hu5,7,63,69,76,85
2016.11.26.,hu5,33,43,58,60,77
2016.11.19.,hu5,8,9,19,37,43
2016.11.12.,hu5,1,11,45,67,78
2016.11.05.,hu5,7,53,65,73,87
2016.10.29.,hu5,53,55,67,79,80
2016.10.22.,hu5,14,34,43,52,78
2016.10.15.,hu5,17,22,47,73,90
2016.10.08.,hu5,23,36,38,57,76
2016.10.01.,hu5,1,23,37,49,60
2016.09.24.,hu5,8,29,59,77,89
2016.09.17.,hu5,1,9,17,18,89
2016.09.10.,hu5,9,16,78,83,86
2016.09.03.,hu5,4,13,47,76,78
2016.08.27.,hu5,22,29,53,62,74
2016.08.20.,hu5,39,41,46,47,60
2016.08.13.,hu5,13,14,21,34,84
2016.08.06.,hu5,15,24,27,29,40
2016.07.30.,hu5,16,55,60,67,76
2016.07.23.,hu5,32,43,60,74,79
2016.07.16.,hu5,10,42,60,78,82
2016.07.09.,hu5,40,47,52,57,83
2016.07.02.,hu5,1,9,11,19,41
2016.06.25.,hu5,29,54,63,78,83
2016.06.18.,hu5,2,39,69,72,74
2016.06.11.,hu5,3,7,32,41,58
2016.06.04.,hu5,22,42,62,82,84
2016.05.28.,hu5,4,27,41,72,88
2016.05.21.,hu5,9,10,36,50,78
2016.05.14.,hu5,6,18,51,59,64
2016.05.07.,hu5,22,24,43,64,90
2016.04.30.,hu5,43,45,56,66,82
2016.04.23.,hu5,24,36,44,63,68
2016.04.16.,hu5,8,33,57,62,66
2016.04.09.,hu5,5,22,25,67,87
2016.04.02.,hu5,1,23,27,42,84
2016.03.26.,hu5,16,38,54,84,90
2016.03.19.,hu5,15,36,45,58,72
2016.03.12.,hu5,28,30,35,56,84
2016.03.05.,hu5,38,39,52,79,85
2016.02.27.,hu5,27,35,51,57,59
2016.02.20.,hu5,24,43,44,48,58
2016.02.13.,hu5,11,15,23,43,87
2016.02.06.,hu5,11,15,26,39,78
2016.01.30.,hu5,48,55,62,69,80
2016.01.23.,hu5,11,27,55,68,80
2016.01.16.,hu5,7,18,53,54,85
2016.01.09.,hu5,3,50,52,59,74
2016.01.02.,hu5,27,30,35,56,68
2015.12.26.,hu5,3,9,38,42,85
2015.12.19.,hu5,15,21,78,87,89
2015.12.12.,hu5,34,38,45,62,90
2015.12.05.,hu5,22,24,35,63,68
2015.11.28.,hu5,9,50,72,76,89
2015.11.21.,hu5,31,53,57,60,83
2015.11.14.,hu5,10,25,38,46,50
2015.11.07.,hu5,41,45,51,54,86
2015.10.31.,hu5,18,24,30,43,79
2015.10.24.,hu5,2,18,45,51,70
2015.10.17.,hu5,2,5,17,24,72
2015.10.10.,hu5,14,54,60,78,81
2015.10.03.,hu5,5,10,23,51,58
2015.09.26.,hu5,10,57,70,75,87
2015.09.19.,hu5,4,38,42,64,74
2015.09.12.,hu5,8,50,69,72,87
2015.09.05.,hu5,20,26,38,41,58
2015.08.29.,hu5,1,19,70,80,81
2015.08.22.,hu5,17,20,32,76,84
2015.08.15.,hu5,2,13,67,70,86
2015.08.08.,hu5,33,52,67,77,87
2015.08.01.,hu5,3,32,50,59,65
2015.07.25.,hu5,3,34,46,62,79
2015.07.18.,hu5,2,5,37,57,67
2015.07.11.,hu5,10,18,26,36,38
2015.07.04.,hu5,1,48,61,62,79
2015.06.27.,hu5,19,30,43,58,69
2015.06.20.,hu5,27,29,47,59,89
2015.06.13.,hu5,3,26,28,42,49
2015.06.06.,hu5,15,16,36,60,70
2015.05.30.,hu5,18,55,56,83,90
2015.05.23.,hu5,12,25,30,46,51
2015.05.16.,hu5,1,19,20,27,34
2015.05.09.,hu5,18,37,44,52,76
2015.05.02.,hu5,8,65,67,69,82
2015.04.25.,hu5,2,50,55,65,84
2015.04.18.,hu5,25,56,57,81,86
2015.04.11.,hu5,21,23,29,46,48
2015.04.04.,hu5,2,33,38,70,77
2015.03.28.,hu5,6,18,35,74,90
2015.03.21.,hu5,18,31,36,52,59
2015.03.14.,hu5,11,41,42,45,77
2015.03.07.,hu5,13,17,19,46,60
2015.02.28.,hu5,18,19,22,62,67
2015.02.21.,hu5,1,45,64,73,86
2015.02.14.,hu5,18,31,46,49,85
2015.02.07.,hu5,18,27,52,57,73
2015.01.31.,hu5,27,35,42,55,71
2015.01.24.,hu5,3,50,55,57,58
2015.01.17.,hu5,63,68,69,75,86
2015.01.10.,hu5,5,19,23,25,67
2015.01.03.,hu5,46,54,55,70,85
2014.12.27.,hu5,10,11,29,35,48
2014.12.20.,hu5,6,7,40,57,67
2014.12.13.,hu5,3,4,55,56,69
2014.12.06.,hu5,7,19,23,44,66
2014.11.29.,hu5,37,45,59,65,76
